"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical";1;"LM2575-5.0BT";;;
2;"SW4,SW3";"PinHeader_1x02_P2.54mm_Vertical";2;"SW_DPST_x2";;;
3;"J1";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"PIN11";;;
4;"J6";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"PIN6";;;
5;"L1";"L_Radial_D12.0mm_P5.00mm_Fastron_11P";1;"330";;;
6;"SW0";"SW_PUSH_6mm";1;"PIN_A0";;;
7;"J7";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"PIN5";;;
8;"J9";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";1;"PUMP";;;
9;"J14";"PinSocket_1x03_P2.54mm_Vertical";1;"SERVO";;;
10;"SW2";"SW_PUSH_6mm";1;"PIN_A2";;;
11;"SW1";"SW_PUSH_6mm";1;"PIN_A1";;;
12;"IC1,IC3";"DIP-16_W7.62mm";2;"ULN2065B";;;
13;"J15";"PinSocket_1x04_P2.54mm_Vertical";1;"LCD";;;
14;"U1";"Pololu_breakout_DRV8874";1;"~";;;
15;"J4";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"PIN8";;;
16;"J3";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"PIN9";;;
17;"J8";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"PINA0";;;
18;"J2";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"PIN10";;;
19;"C1";"CP_Radial_D8.0mm_P5.00mm";1;"100";;;
20;"C2";"CP_Radial_D8.0mm_P5.00mm";1;"330";;;
21;"J5";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"PIN7";;;
22;"D1,D10";"D_A-405_P7.62mm_Horizontal";2;"1N5819WS";;;
23;"J12";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";1;"PWR_IN";;;
24;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
25;"J11";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";1;"FILTER_SENSOR";;;
26;"J10";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";1;"FILTER_PUMP";;;
27;"J13";"PinSocket_1x04_P2.54mm_Vertical";1;"HX711";;;
